t,beta1,r1,sigma
16/3/2020,0.11699458,0.035943163,0.05
17/3/2020,0.11699458,0.035943163,0.05
18/3/2020,0.11699458,0.035943163,0.05
19/3/2020,0.11699458,0.035943163,0.05
20/3/2020,0.11699458,0.035943163,0.05
21/3/2020,0.11699458,0.035943163,0.05
22/3/2020,0.11699458,0.035943163,0.05
23/3/2020,0.11699458,0.035943163,0.05
24/3/2020,0.11699458,0.035943163,0.05
25/3/2020,0.11699458,0.035943163,0.05
26/3/2020,0.11699458,0.035943163,0.05
27/3/2020,0.11699458,0.035943163,0.05
28/3/2020,0.11699458,0.035943163,0.05
29/3/2020,0.11699458,0.035943163,0.05
30/3/2020,0.11699458,0.035943163,0.05
31/3/2020,0.043628133,0.025069334,0.05
1/4/2020,0.043628133,0.025069334,0.05
2/4/2020,0.043628133,0.025069334,0.05
3/4/2020,0.043628133,0.025069334,0.05
4/4/2020,0.043628133,0.025069334,0.05
5/4/2020,0.043628133,0.025069334,0.05
6/4/2020,0.043628133,0.025069334,0.05
7/4/2020,0.043628133,0.025069334,0.05
8/4/2020,0.043628133,0.025069334,0.05
9/4/2020,0.043628133,0.025069334,0.05
10/4/2020,0.043628133,0.025069334,0.05
11/4/2020,0.043628133,0.025069334,0.05
12/4/2020,0.043628133,0.025069334,0.05
13/4/2020,0.043628133,0.025069334,0.05
14/4/2020,0.043628133,0.025069334,0.05
15/4/2020,0.043628133,0.025069334,0.05
16/4/2020,0.043628133,0.025069334,0.05
17/4/2020,0.043628133,0.025069334,0.05
18/4/2020,0.022134266,0.028138953,0.05
19/4/2020,0.022134266,0.028138953,0.05
20/4/2020,0.022134266,0.028138953,0.05
21/4/2020,0.022134266,0.028138953,0.05
22/4/2020,0.022134266,0.028138953,0.05
23/4/2020,0.022134266,0.028138953,0.05
24/4/2020,0.022134266,0.028138953,0.05
25/4/2020,0.022134266,0.028138953,0.05
26/4/2020,0.022134266,0.028138953,0.05
27/4/2020,0.022134266,0.028138953,0.05
28/4/2020,0.022134266,0.028138953,0.05
29/4/2020,0.022134266,0.028138953,0.05
30/4/2020,0.022134266,0.028138953,0.05
1/5/2020,0.022134266,0.028138953,0.05
2/5/2020,0.022134266,0.028138953,0.05
3/5/2020,0.022134266,0.028138953,0.05
4/5/2020,0.012388224,0.041652395,0.05
5/5/2020,0.012388224,0.041652395,0.05
6/5/2020,0.012388224,0.041652395,0.05
7/5/2020,0.012388224,0.041652395,0.05
8/5/2020,0.012388224,0.041652395,0.05
9/5/2020,0.012388224,0.041652395,0.05
10/5/2020,0.012388224,0.041652395,0.05
11/5/2020,0.012388224,0.041652395,0.05
12/5/2020,0.012388224,0.041652395,0.05
13/5/2020,0.012388224,0.041652395,0.05
14/5/2020,0.012388224,0.041652395,0.05
15/5/2020,0.012388224,0.041652395,0.05
16/5/2020,0.012388224,0.041652395,0.05
17/5/2020,0.012388224,0.041652395,0.05
18/5/2020,0.012388224,0.041652395,0.05
19/5/2020,0.0108122,0.038169005,0.05
20/5/2020,0.0108122,0.038169005,0.05
21/5/2020,0.0108122,0.038169005,0.05
22/5/2020,0.0108122,0.038169005,0.05
23/5/2020,0.0108122,0.038169005,0.05
24/5/2020,0.0108122,0.038169005,0.05
25/5/2020,0.009678197,0.050941381,0.05
26/5/2020,0.009678197,0.050941381,0.05
27/5/2020,0.009678197,0.050941381,0.05
28/5/2020,0.009678197,0.050941381,0.05
29/5/2020,0.009678197,0.050941381,0.05
30/5/2020,0.009678197,0.050941381,0.05
31/5/2020,0.009678197,0.050941381,0.05
1/6/2020,0.007843847,0.036711513,0.05
2/6/2020,0.007843847,0.036711513,0.05
3/6/2020,0.007843847,0.036711513,0.05
4/6/2020,0.007843847,0.036711513,0.05
5/6/2020,0.007843847,0.036711513,0.05
6/6/2020,0.007843847,0.036711513,0.05
7/6/2020,0.007843847,0.036711513,0.05
8/6/2020,0.007843847,0.036711513,0.05
9/6/2020,0.009901634,0.049860825,0.05
10/6/2020,0.009901634,0.049860825,0.05
11/6/2020,0.009901634,0.049860825,0.05
12/6/2020,0.009901634,0.049860825,0.05
13/6/2020,0.009901634,0.049860825,0.05
14/6/2020,0.009901634,0.049860825,0.05
15/6/2020,0.009901634,0.049860825,0.05
16/6/2020,0.009901634,0.049860825,0.05
17/6/2020,0.013511813,0.043884551,0.05
18/6/2020,0.013511813,0.043884551,0.05
19/6/2020,0.013511813,0.043884551,0.05
20/6/2020,0.013511813,0.043884551,0.05
21/6/2020,0.013511813,0.043884551,0.05
22/6/2020,0.013511813,0.043884551,0.05
23/6/2020,0.013511813,0.043884551,0.05
24/6/2020,0.013511813,0.043884551,0.05
25/6/2020,0.013511813,0.043884551,0.05
26/6/2020,0.013511813,0.043884551,0.05
27/6/2020,0.013511813,0.043884551,0.05
28/6/2020,0.013511813,0.043884551,0.05
29/6/2020,0.013511813,0.043884551,0.05
30/6/2020,0.014153682,0.026048146,0.05
1/7/2020,0.014153682,0.026048146,0.05
2/7/2020,0.014153682,0.026048146,0.05
3/7/2020,0.014153682,0.026048146,0.05
4/7/2020,0.014153682,0.026048146,0.05
5/7/2020,0.014153682,0.026048146,0.05
6/7/2020,0.014153682,0.026048146,0.05
7/7/2020,0.014153682,0.026048146,0.05
8/7/2020,0.014153682,0.026048146,0.05
9/7/2020,0.014153682,0.026048146,0.05
10/7/2020,0.014153682,0.026048146,0.05
11/7/2020,0.014153682,0.026048146,0.05
12/7/2020,0.014153682,0.026048146,0.05
13/7/2020,0.014153682,0.026048146,0.05
14/7/2020,0.014153682,0.026048146,0.05
15/7/2020,0.014153682,0.026048146,0.05
16/7/2020,0.014153682,0.026048146,0.05
17/7/2020,0.014153682,0.026048146,0.05
18/7/2020,0.014153682,0.026048146,0.05
19/7/2020,0.01869926,0.016999914,0.05
20/7/2020,0.01869926,0.016999914,0.05
21/7/2020,0.01869926,0.016999914,0.05
22/7/2020,0.01869926,0.016999914,0.05
23/7/2020,0.01869926,0.016999914,0.05
24/7/2020,0.01869926,0.016999914,0.05
25/7/2020,0.01869926,0.016999914,0.05
26/7/2020,0.01869926,0.016999914,0.05
27/7/2020,0.01869926,0.016999914,0.05
28/7/2020,0.02352471,0.022424725,0.05
29/7/2020,0.02352471,0.022424725,0.05
30/7/2020,0.02352471,0.022424725,0.05
31/7/2020,0.02352471,0.022424725,0.05
1/8/2020,0.02352471,0.022424725,0.05
2/8/2020,0.02352471,0.022424725,0.05
3/8/2020,0.02352471,0.022424725,0.05
4/8/2020,0.02352471,0.022424725,0.05
5/8/2020,0.02352471,0.022424725,0.05
6/8/2020,0.02352471,0.022424725,0.05
7/8/2020,0.036299276,0.017822793,0.05
8/8/2020,0.036299276,0.017822793,0.05
9/8/2020,0.036299276,0.017822793,0.05
10/8/2020,0.036299276,0.017822793,0.05
11/8/2020,0.036299276,0.017822793,0.05
12/8/2020,0.036299276,0.017822793,0.05
13/8/2020,0.036299276,0.017822793,0.05
14/8/2020,0.036299276,0.017822793,0.05
15/8/2020,0.036299276,0.017822793,0.05
16/8/2020,0.036299276,0.017822793,0.05
17/8/2020,0.036299276,0.017822793,0.05
18/8/2020,0.036299276,0.017822793,0.05
19/8/2020,0.036299276,0.017822793,0.05
20/8/2020,0.036299276,0.017822793,0.05
21/8/2020,0.036299276,0.017822793,0.05
22/8/2020,0.051174655,0.015222196,0.05
23/8/2020,0.051174655,0.015222196,0.05
24/8/2020,0.051174655,0.015222196,0.05
25/8/2020,0.051174655,0.015222196,0.05
26/8/2020,0.051174655,0.015222196,0.05
27/8/2020,0.051174655,0.015222196,0.05
28/8/2020,0.051174655,0.015222196,0.05
29/8/2020,0.051174655,0.015222196,0.05
30/8/2020,0.051174655,0.015222196,0.05
31/8/2020,0.051174655,0.015222196,0.05
1/9/2020,0.051174655,0.015222196,0.05
2/9/2020,0.051174655,0.015222196,0.05
3/9/2020,0.051174655,0.015222196,0.05
4/9/2020,0.051174655,0.015222196,0.05
5/9/2020,0.051174655,0.015222196,0.05
6/9/2020,0.051174655,0.015222196,0.05
7/9/2020,0.051174655,0.015222196,0.05
8/9/2020,0.051174655,0.015222196,0.05
9/9/2020,0.051174655,0.015222196,0.05
10/9/2020,0.051174655,0.015222196,0.05
11/9/2020,0.051174655,0.015222196,0.05
12/9/2020,0.03775955,0.0158474,0.05
13/9/2020,0.03775955,0.0158474,0.05
14/9/2020,0.03775955,0.0158474,0.05
15/9/2020,0.03775955,0.0158474,0.05
16/9/2020,0.03775955,0.0158474,0.05
17/9/2020,0.03775955,0.0158474,0.05
18/9/2020,0.03775955,0.0158474,0.05
19/9/2020,0.03775955,0.0158474,0.05
20/9/2020,0.03775955,0.0158474,0.05
21/9/2020,0.06409514,0.01969515,0.05
22/9/2020,0.06409514,0.01969515,0.05
23/9/2020,0.06409514,0.01969515,0.05
24/9/2020,0.06409514,0.01969515,0.05
25/9/2020,0.06409514,0.01969515,0.05
26/9/2020,0.06409514,0.01969515,0.05
27/9/2020,0.06409514,0.01969515,0.05
28/9/2020,0.06409514,0.01969515,0.05
29/9/2020,0.06409514,0.01969515,0.05
30/9/2020,0.06409514,0.01969515,0.05
1/10/2020,0.06409514,0.01969515,0.05
2/10/2020,0.06409514,0.01969515,0.05
3/10/2020,0.06409514,0.01969515,0.05
4/10/2020,0.06409514,0.01969515,0.05
5/10/2020,0.06409514,0.01969515,0.05
6/10/2020,0.06409514,0.01969515,0.05
7/10/2020,0.06409514,0.01969515,0.05
8/10/2020,0.06409514,0.01969515,0.05
9/10/2020,0.06409514,0.01969515,0.05
10/10/2020,0.06409514,0.01969515,0.05
11/10/2020,0.06409514,0.01969515,0.05
12/10/2020,0.06409514,0.01969515,0.05
13/10/2020,0.06409514,0.01969515,0.05
14/10/2020,0.06409514,0.01969515,0.05
15/10/2020,0.06409514,0.01969515,0.05
16/10/2020,0.06409514,0.01969515,0.05
17/10/2020,0.06409514,0.01969515,0.05
18/10/2020,0.06409514,0.01969515,0.05
19/10/2020,0.06409514,0.01969515,0.05
20/10/2020,0.06409514,0.01969515,0.05
21/10/2020,0.06409514,0.01969515,0.05
22/10/2020,0.06409514,0.01969515,0.05
23/10/2020,0.06409514,0.01969515,0.05
24/10/2020,0.06409514,0.01969515,0.05
25/10/2020,0.067668635,0.021786538,0.05
26/10/2020,0.067668635,0.021786538,0.05
27/10/2020,0.067668635,0.021786538,0.05
28/10/2020,0.067668635,0.021786538,0.05
29/10/2020,0.067668635,0.021786538,0.05
30/10/2020,0.067668635,0.021786538,0.05
31/10/2020,0.067668635,0.021786538,0.05
1/11/2020,0.067668635,0.021786538,0.05
2/11/2020,0.067668635,0.021786538,0.05
3/11/2020,0.067668635,0.021786538,0.05
4/11/2020,0.067668635,0.021786538,0.05
5/11/2020,0.067668635,0.021786538,0.05
6/11/2020,0.067668635,0.021786538,0.05
7/11/2020,0.067668635,0.021786538,0.05
8/11/2020,0.067668635,0.021786538,0.05
9/11/2020,0.067668635,0.021786538,0.05
10/11/2020,0.067668635,0.021786538,0.05
11/11/2020,0.067668635,0.021786538,0.05
12/11/2020,0.067668635,0.021786538,0.05
13/11/2020,0.067668635,0.021786538,0.05
14/11/2020,0.067668635,0.021786538,0.05
15/11/2020,0.067668635,0.021786538,0.05
16/11/2020,0.067668635,0.021786538,0.05
17/11/2020,0.067668635,0.021786538,0.05
18/11/2020,0.067668635,0.021786538,0.05
19/11/2020,0.067668635,0.021786538,0.05
20/11/2020,0.067668635,0.021786538,0.05
21/11/2020,0.067668635,0.021786538,0.05
22/11/2020,0.067668635,0.021786538,0.05
23/11/2020,0.030711325,0.03440886,0.05
24/11/2020,0.030711325,0.03440886,0.05
25/11/2020,0.030711325,0.03440886,0.05
26/11/2020,0.030711325,0.03440886,0.05
27/11/2020,0.030711325,0.03440886,0.05
28/11/2020,0.030711325,0.03440886,0.05
29/11/2020,0.030711325,0.03440886,0.05
30/11/2020,0.030711325,0.03440886,0.05
1/12/2020,0.030711325,0.03440886,0.05
2/12/2020,0.030711325,0.03440886,0.05
3/12/2020,0.030711325,0.03440886,0.05
4/12/2020,0.030711325,0.03440886,0.05
5/12/2020,0.030711325,0.03440886,0.05
6/12/2020,0.030711325,0.03440886,0.05
7/12/2020,0.024565058,0.038591161,0.05
8/12/2020,0.024565058,0.038591161,0.05
9/12/2020,0.024565058,0.038591161,0.05
10/12/2020,0.024565058,0.038591161,0.05
11/12/2020,0.024565058,0.038591161,0.05
12/12/2020,0.024565058,0.038591161,0.05
13/12/2020,0.024565058,0.038591161,0.05
14/12/2020,0.024565058,0.038591161,0.05
15/12/2020,0.024565058,0.038591161,0.05
16/12/2020,0.024565058,0.038591161,0.05
17/12/2020,0.024565058,0.038591161,0.05
18/12/2020,0.024565058,0.038591161,0.05
19/12/2020,0.024565058,0.038591161,0.05
20/12/2020,0.022958769,0.033823931,0.05
21/12/2020,0.022958769,0.033823931,0.05
22/12/2020,0.022958769,0.033823931,0.05
23/12/2020,0.022958769,0.033823931,0.05
24/12/2020,0.022958769,0.033823931,0.05
25/12/2020,0.022958769,0.033823931,0.05
26/12/2020,0.022958769,0.033823931,0.05
27/12/2020,0.022958769,0.033823931,0.05
28/12/2020,0.022958769,0.033823931,0.05
29/12/2020,0.029726597,0.030265095,0.05
30/12/2020,0.029726597,0.030265095,0.05
31/12/2020,0.029726597,0.030265095,0.05
1/1/2021,0.029726597,0.030265095,0.05
2/1/2021,0.029726597,0.030265095,0.05
3/1/2021,0.029726597,0.030265095,0.05
4/1/2021,0.029726597,0.030265095,0.05
5/1/2021,0.029726597,0.030265095,0.05
6/1/2021,0.029726597,0.030265095,0.05
7/1/2021,0.029726597,0.030265095,0.05
8/1/2021,0.029726597,0.030265095,0.05
9/1/2021,0.029726597,0.030265095,0.05
10/1/2021,0.029726597,0.030265095,0.05
11/1/2021,0.029726597,0.030265095,0.05
12/1/2021,0.029726597,0.030265095,0.05
13/1/2021,0.029726597,0.030265095,0.05
14/1/2021,0.029726597,0.030265095,0.05
15/1/2021,0.029726597,0.030265095,0.05
16/1/2021,0.024467887,0.039705158,0.05
17/1/2021,0.024467887,0.039705158,0.05
18/1/2021,0.024467887,0.039705158,0.05
19/1/2021,0.024467887,0.039705158,0.05
20/1/2021,0.024467887,0.039705158,0.05
21/1/2021,0.024467887,0.039705158,0.05
22/1/2021,0.024467887,0.039705158,0.05
23/1/2021,0.024467887,0.039705158,0.05
24/1/2021,0.024467887,0.039705158,0.05
25/1/2021,0.025985165,0.037177498,0.05
26/1/2021,0.025985165,0.037177498,0.05
27/1/2021,0.025985165,0.037177498,0.05
28/1/2021,0.025985165,0.037177498,0.05
29/1/2021,0.025985165,0.037177498,0.05
30/1/2021,0.025985165,0.037177498,0.05
31/1/2021,0.025985165,0.037177498,0.05
1/2/2021,0.025985165,0.037177498,0.05
2/2/2021,0.025985165,0.037177498,0.05
3/2/2021,0.025985165,0.037177498,0.05
4/2/2021,0.031195765,0.035416199,0.05
5/2/2021,0.031195765,0.035416199,0.05
6/2/2021,0.031195765,0.035416199,0.05
7/2/2021,0.031195765,0.035416199,0.05
8/2/2021,0.031195765,0.035416199,0.05
9/2/2021,0.031195765,0.035416199,0.05
10/2/2021,0.031195765,0.035416199,0.05
11/2/2021,0.031195765,0.035416199,0.05
12/2/2021,0.031195765,0.035416199,0.05
13/2/2021,0.031195765,0.035416199,0.05
14/2/2021,0.031195765,0.035416199,0.05
15/2/2021,0.031195765,0.035416199,0.05
16/2/2021,0.031195765,0.035416199,0.05
17/2/2021,0.031195765,0.035416199,0.05
18/2/2021,0.031195765,0.035416199,0.05
19/2/2021,0.031195765,0.035416199,0.05
20/2/2021,0.031195765,0.035416199,0.05
21/2/2021,0.031195765,0.035416199,0.05
22/2/2021,0.031195765,0.035416199,0.05
23/2/2021,0.031195765,0.035416199,0.05
24/2/2021,0.047168654,0.028827418,0.05
25/2/2021,0.047168654,0.028827418,0.05
26/2/2021,0.047168654,0.028827418,0.05
27/2/2021,0.047168654,0.028827418,0.05
28/2/2021,0.047168654,0.028827418,0.05
1/3/2021,0.047168654,0.028827418,0.05
2/3/2021,0.047168654,0.028827418,0.05
3/3/2021,0.047168654,0.028827418,0.05
4/3/2021,0.047168654,0.028827418,0.05
5/3/2021,0.047168654,0.028827418,0.05
6/3/2021,0.047168654,0.028827418,0.05
7/3/2021,0.047168654,0.028827418,0.05
8/3/2021,0.047168654,0.028827418,0.05
9/3/2021,0.045806505,0.030169773,0.05
10/3/2021,0.045806505,0.030169773,0.05
11/3/2021,0.045806505,0.030169773,0.05
12/3/2021,0.045806505,0.030169773,0.05
13/3/2021,0.045806505,0.030169773,0.05
14/3/2021,0.045806505,0.030169773,0.05
15/3/2021,0.045806505,0.030169773,0.05
16/3/2021,0.045806505,0.030169773,0.05
17/3/2021,0.045806505,0.030169773,0.05
18/3/2021,0.045806505,0.030169773,0.05
19/3/2021,0.045806505,0.030169773,0.05
20/3/2021,0.045806505,0.030169773,0.05
21/3/2021,0.038483288,0.036934225,0.05
22/3/2021,0.038483288,0.036934225,0.05
23/3/2021,0.038483288,0.036934225,0.05
24/3/2021,0.038483288,0.036934225,0.05
25/3/2021,0.038483288,0.036934225,0.05
26/3/2021,0.038483288,0.036934225,0.05
27/3/2021,0.038483288,0.036934225,0.05
28/3/2021,0.038483288,0.036934225,0.05
29/3/2021,0.038483288,0.036934225,0.05
30/3/2021,0.038483288,0.036934225,0.05
31/3/2021,0.038483288,0.036934225,0.05
1/4/2021,0.038483288,0.036934225,0.05
2/4/2021,0.038483288,0.036934225,0.05
3/4/2021,0.038483288,0.036934225,0.05
4/4/2021,0.038483288,0.036934225,0.05
5/4/2021,0.038483288,0.036934225,0.05
6/4/2021,0.028165348,0.03799737,0.05
7/4/2021,0.028165348,0.03799737,0.05
8/4/2021,0.028165348,0.03799737,0.05
9/4/2021,0.028165348,0.03799737,0.05
10/4/2021,0.028165348,0.03799737,0.05
11/4/2021,0.028165348,0.03799737,0.05
12/4/2021,0.028165348,0.03799737,0.05
13/4/2021,0.031565467,0.034935757,0.05
14/4/2021,0.031565467,0.034935757,0.05
15/4/2021,0.031565467,0.034935757,0.05
16/4/2021,0.031565467,0.034935757,0.05
17/4/2021,0.031565467,0.034935757,0.05
18/4/2021,0.02670566,0.041062528,0.05
19/4/2021,0.02670566,0.041062528,0.05
20/4/2021,0.02670566,0.041062528,0.05
21/4/2021,0.02670566,0.041062528,0.05
22/4/2021,0.02670566,0.041062528,0.05
23/4/2021,0.02670566,0.041062528,0.05
24/4/2021,0.02670566,0.041062528,0.05
25/4/2021,0.025530138,0.036709889,0.05
26/4/2021,0.025530138,0.036709889,0.05
27/4/2021,0.025530138,0.036709889,0.05
28/4/2021,0.025530138,0.036709889,0.05
29/4/2021,0.025530138,0.036709889,0.05
30/4/2021,0.025530138,0.036709889,0.05
1/5/2021,0.025530138,0.036709889,0.05
2/5/2021,0.025530138,0.036709889,0.05
3/5/2021,0.025530138,0.036709889,0.05
4/5/2021,0.025530138,0.036709889,0.05
5/5/2021,0.023250681,0.041151316,0.05
6/5/2021,0.023250681,0.041151316,0.05
7/5/2021,0.023250681,0.041151316,0.05
8/5/2021,0.023250681,0.041151316,0.05
9/5/2021,0.023250681,0.041151316,0.05
10/5/2021,0.023250681,0.041151316,0.05
11/5/2021,0.023250681,0.041151316,0.05
12/5/2021,0.023250681,0.041151316,0.05
13/5/2021,0.023250681,0.041151316,0.05
14/5/2021,0.023250681,0.041151316,0.05
15/5/2021,0.0165963,0.036566126,0.05
16/5/2021,0.0165963,0.036566126,0.05
17/5/2021,0.0165963,0.036566126,0.05
18/5/2021,0.0165963,0.036566126,0.05
19/5/2021,0.0165963,0.036566126,0.05
20/5/2021,0.0165963,0.036566126,0.05
21/5/2021,0.0165963,0.036566126,0.05
22/5/2021,0.0165963,0.036566126,0.05
23/5/2021,0.013128287,0.037844913,0.05
24/5/2021,0.013128287,0.037844913,0.05
25/5/2021,0.013128287,0.037844913,0.05
26/5/2021,0.013128287,0.037844913,0.05
27/5/2021,0.013128287,0.037844913,0.05
28/5/2021,0.013128287,0.037844913,0.05
29/5/2021,0.013128287,0.037844913,0.05
30/5/2021,0.010890391,0.042568962,0.05
31/5/2021,0.010890391,0.042568962,0.05
1/6/2021,0.010890391,0.042568962,0.05
2/6/2021,0.010890391,0.042568962,0.05
3/6/2021,0.010890391,0.042568962,0.05
4/6/2021,0.010890391,0.042568962,0.05
5/6/2021,0.01017352,0.038601889,0.05
6/6/2021,0.01017352,0.038601889,0.05
7/6/2021,0.01017352,0.038601889,0.05
8/6/2021,0.01017352,0.038601889,0.05
9/6/2021,0.01017352,0.038601889,0.05
10/6/2021,0.01017352,0.038601889,0.05
11/6/2021,0.01017352,0.038601889,0.05
12/6/2021,0.010611209,0.083450856,0.05
13/6/2021,0.010611209,0.083450856,0.05
14/6/2021,0.010611209,0.083450856,0.05
15/6/2021,0.010611209,0.083450856,0.05
16/6/2021,0.010611209,0.083450856,0.05
17/6/2021,0.010611209,0.083450856,0.05
18/6/2021,0.010611209,0.083450856,0.05
19/6/2021,0.010611209,0.083450856,0.05
20/6/2021,0.012551284,0.057029743,0.05
21/6/2021,0.012551284,0.057029743,0.05
22/6/2021,0.012551284,0.057029743,0.05
23/6/2021,0.012551284,0.057029743,0.05
24/6/2021,0.012551284,0.057029743,0.05
25/6/2021,0.012551284,0.057029743,0.05
26/6/2021,0.012551284,0.057029743,0.05
27/6/2021,0.012551284,0.057029743,0.05
28/6/2021,0.012551284,0.057029743,0.05
29/6/2021,0.012551284,0.057029743,0.05
30/6/2021,0.012551284,0.057029743,0.05
1/7/2021,0.012551284,0.057029743,0.05
2/7/2021,0.012551284,0.057029743,0.05
3/7/2021,0.012551284,0.057029743,0.05
4/7/2021,0.012551284,0.057029743,0.05
5/7/2021,0.012551284,0.057029743,0.05
6/7/2021,0.048266718,0.027957003,0.05
7/7/2021,0.048266718,0.027957003,0.05
8/7/2021,0.048266718,0.027957003,0.05
9/7/2021,0.048266718,0.027957003,0.05
10/7/2021,0.048266718,0.027957003,0.05
11/7/2021,0.048266718,0.027957003,0.05
12/7/2021,0.048266718,0.027957003,0.05
13/7/2021,0.048266718,0.027957003,0.05
14/7/2021,0.048266718,0.027957003,0.05
15/7/2021,0.048266718,0.027957003,0.05
16/7/2021,0.048266718,0.027957003,0.05
17/7/2021,0.048266718,0.027957003,0.05
18/7/2021,0.048266718,0.027957003,0.05
19/7/2021,0.048266718,0.027957003,0.05
20/7/2021,0.048266718,0.027957003,0.05
21/7/2021,0.048266718,0.027957003,0.05
22/7/2021,0.048266718,0.027957003,0.05
23/7/2021,0.048266718,0.027957003,0.05
24/7/2021,0.048266718,0.027957003,0.05
25/7/2021,0.048266718,0.027957003,0.05
26/7/2021,0.048266718,0.027957003,0.05
27/7/2021,0.048266718,0.027957003,0.05
28/7/2021,0.048266718,0.027957003,0.05
29/7/2021,0.048266718,0.027957003,0.05
30/7/2021,0.048266718,0.027957003,0.05
31/7/2021,0.048266718,0.027957003,0.05
1/8/2021,0.048266718,0.027957003,0.05
2/8/2021,0.048266718,0.027957003,0.05
3/8/2021,0.048266718,0.027957003,0.05
4/8/2021,0.048266718,0.027957003,0.05
